IFC GUID,Area,Element Id,Level Name,Room Name
1pbF9KK2TDzusp_JvswT2s,92,1199106,Level 1,Foyer
1pbF9KK2TDzusp_JvswT2_,247,1199114,Level 1,Foyer
1pbF9KK2TDzusp_JvswT2c,58,1199122,Level 1,Living rm.
1pbF9KK2TDzusp_JvswT2k,144,1199130,Level 1,Kitchen
1pbF9KK2TDzusp_JvswT2G,106,1199140,Level 1,Den
1pbF9KK2TDzusp_JvswT2O,7,1199148,Level 1,Closet A
1pbF9KK2TDzusp_JvswT20,29,1199156,Level 1,Hallway
1pbF9KK2TDzusp_JvswT28,75,1199164,Level 1,Laundry
1pbF9KK2TDzusp_JvswT3_,74,1199178,Level 1,Bathroom 1
1pbF9KK2TDzusp_JvswT3c,15,1199186,Level 1,Bathroom 1
1pbF9KK2TDzusp_JvswT3k,49,1199194,Level 1,Closet 1
1pbF9KK2TDzusp_JvswT3G,187,1199204,Level 1,Bedroom 1
1pbF9KK2TDzusp_JvswT3O,24,1199212,Level 1,Hallway
1pbF9KK2TDzusp_JvswT30,55,1199220,Level 1,Bathroom 2
1pbF9KK2TDzusp_JvswT3A,143,1199230,Level 1,Bedroom 2
1pbF9KK2TDzusp_JvswT0o,13,1199238,Level 1,Closet 2
1pbF9KK2TDzusp_JvswT0a,148,1199248,Level 1,Bedroom 3
1pbF9KK2TDzusp_JvswT0i,13,1199256,Level 1,Closet 3
