"IFC GUID","Area","Element Id","Level Name","Room Name"
"0xbjqyLkrFPOwx2D1iOpvZ","333","1232280","Level 1","Living rm."
"0xbjqyLkrFPOwx2D1iOpvQ","173","1232289","Level 1","Living rm."
"0xbjqyLkrFPOwx2D1iOpvI","212","1232297","Level 1","Dining rm."
"0xbjqyLkrFPOwx2D1iOpvE","36","1232309","Level 1","Bathroom 3"
"0xbjqyLkrFPOwx2D1iOpv5","16","1232318","Level 1","Pantry"
"0xbjqyLkrFPOwx2D1iOpup","51","1232328","Level 1","Laundry"
"0xbjqyLkrFPOwx2D1iOpuh","19","1232336","Level 1","Closet B"
"0xbjqyLkrFPOwx2D1iOpuZ","6","1232344","Level 1","Closet A"
"0xbjqyLkrFPOwx2D1iOpuR","12","1232352","Level 2","Closet 2"
"0xbjqyLkrFPOwx2D1iOpuJ","17","1232360","Level 2","Closet 3"
"0xbjqyLkrFPOwx2D1iOpuB","5","1232368","Level 2","Closet C"
"0xbjqyLkrFPOwx2D1iOpu3","6","1232376","Level 2","Closet D"
"0xbjqyLkrFPOwx2D1iOptx","57","1232384","Level 2","Bathroom 2"
"0xbjqyLkrFPOwx2D1iOptf","100","1232402","Level 2","Bathroom 1"
"0xbjqyLkrFPOwx2D1iOptd","227","1232412","Level 2","Bedroom 1"
"0xbjqyLkrFPOwx2D1iOptV","123","1232420","Level 2","Bedroom 2"
"0xbjqyLkrFPOwx2D1iOptN","140","1232428","Level 2","Bedroom 3"
"0xbjqyLkrFPOwx2D1iOptF","66","1232436","Level 2","Closet 1"
"0xbjqyLkrFPOwx2D1iOpsx","53","1232448","Level 2","Closet D"
"0xbjqyLkrFPOwx2D1iOpsn","49","1232458","Level 3","Hallway"
"0xbjqyLkrFPOwx2D1iOpsf","9","1232466","Level 3","Closet 4"
"0xbjqyLkrFPOwx2D1iOpsd","142","1232476","Level 3","Bedroom 4"
"0xbjqyLkrFPOwx2D1iOpsJ","62","1232488","Level 3","Bathroom 4"
"0xbjqyLkrFPOwx2D1iOpsB","132","1232496","Level 3","Bonus Room"
