IFC GUID,Area,Element Id,Level Name,Room Name
3pIlvO_9L0jR3Ar6IljQL2,37,1291268,Level 1,Bathrooom 1
3pIlvO_9L0jR3Ar6IljQLA,49,1291276,Level 1,Bathrooom 1
3pIlvO_9L0jR3Ar6IljQLO,146,1291294,Level 1,Bathroom 3
3pIlvO_9L0jR3Ar6IljQLW,22,1291302,Level 1,Bathroom 3
3pIlvO_9L0jR3Ar6IljQLe,224,1291310,Level 1,Bedroom 3
3pIlvO_9L0jR3Ar6IljQLm,139,1291318,Level 1,Bedroom 2
3pIlvO_9L0jR3Ar6IljQLu,141,1291326,Level 1,Bedroom 1
3pIlvO_9L0jR3Ar6IljQK0,29,1291334,Level 1,Closet 1
3pIlvO_9L0jR3Ar6IljQK8,24,1291342,Level 1,Closet 2
3pIlvO_9L0jR3Ar6IljQKG,87,1291350,Level 1,Closet 3
3pIlvO_9L0jR3Ar6IljQKO,23,1291358,Level 1,Hall
3pIlvO_9L0jR3Ar6IljQKW,23,1291366,Level 1,Hall
3pIlvO_9L0jR3Ar6IljQKe,8,1291374,Level 1,Closet A
3pIlvO_9L0jR3Ar6IljQKm,8,1291382,Level 1,Closet B
3pIlvO_9L0jR3Ar6IljQKu,77,1291390,Level 1,Foyer
3pIlvO_9L0jR3Ar6IljQN0,136,1291398,Level 1,Dining
3pIlvO_9L0jR3Ar6IljQNK,410,1291410,Level 1,Living room
3pIlvO_9L0jR3Ar6IljQNS,219,1291418,Level 1,Kitchen
3pIlvO_9L0jR3Ar6IljQNa,59,1291426,Level 1,Pantry
3pIlvO_9L0jR3Ar6IljQNs,112,1291440,Level 1,Mudroom
3pIlvO_9L0jR3Ar6IljQN_,32,1291448,Level 1,Bathroom 2
3pIlvO_9L0jR3Ar6IljQM6,72,1291456,Level 1,Closet 3
3pIlvO_9L0jR3Ar6IljQME,392,1291464,Level 2,Bedroom 4
3pIlvO_9L0jR3Ar6IljQMM,56,1291472,Level 2,Bathroom 3
3pIlvO_9L0jR3Ar6IljQMU,19,1291480,Level 2,Closet 4B
3pIlvO_9L0jR3Ar6IljQMc,18,1291488,Level 2,Closet 4A
3pIlvO_9L0jR3Ar6IljQMk,38,1291496,Level 2,Hall
0$DFbPjrP3bvi6ZxDv9NZb,14,1300343,Level 2,Bedroom 1
