"IFC GUID","Area","Element Id","Level Name","Room Name"
"0TzUPdM797Whao2ZIfTSaj","88","1258212","Level 1","Foyer"
"0TzUPdM797Whao2ZIfTSa$","295","1258230","Level 1","Great Room"
"0TzUPdM797Whao2ZIfTSZB","223","1258242","Level 1","Kitchen"
"0TzUPdM797Whao2ZIfTSZP","147","1258256","Level 1","Dining"
"0TzUPdM797Whao2ZIfTSZH","85","1258264","Level 1","Dining"
"0TzUPdM797Whao2ZIfTSZj","45","1258276","Level 1","Kitchen"
"0TzUPdM797Whao2ZIfTSY1","69","1258312","Level 1","Hallway"
"0TzUPdM797Whao2ZIfTSYH","104","1258328","Level 1","Stuoy"
"0TzUPdM797Whao2ZIfTSYf","8","1258336","Level 1","Closet"
"0TzUPdM797Whao2ZIfTSYn","119","1258360","Level 1","Opt.Screen Porch"
"0TzUPdM797Whao2ZIfTSX6","173","1258383","Level 2","Great Room"
"0TzUPdM797Whao2ZIfTSXU","16","1258391","Level 2","Wordrobe"
"0TzUPdM797Whao2ZIfTSXf","140","1258400","Level 2","Porch"
"0TzUPdM797Whao2ZIfTSXp","138","1258426","Level 2","Lanndry"
"0TzUPdM797Whao2ZIfTSWB","10","1258434","Level 2","Closet"
"0TzUPdM797Whao2ZIfTSW3","10","1258442","Level 2","Closet"
"0TzUPdM797Whao2ZIfTSWR","37","1258450","Level 2","Wordrobe"
"0TzUPdM797Whao2ZIfTSWl","174","1258470","Level 2","Bath"
"0TzUPdM797Whao2ZIfTS$E","239","1258503","Level 2","Bedroom"
"0TzUPdM797Whao2ZIfTS$P","66","1258512","Level 2","Wordrobe"
