Element ID,Key
2209908,EntryFrontDoor-T
2209829,EntryRearDoor-T
2499878,EntryDoorBell-T
2215792,EntryGarageDoor-T
2141062,MainMaterial-T
2141147,MainMaterial-T
2141204,MainMaterial-T
2141231,MainMaterial-T
2141276,MainMaterial-T
2141317,MainMaterial-T
2141387,MainMaterial-T
2141453,MainMaterial-T
2141650,MainMaterial-T
2141743,MainMaterial-T
2141937,MainMaterial-T
2142016,MainMaterial-T
2142066,MainMaterial-T
2393960,RoofMaterial-T
2394406,RoofMaterial-T
2394413,RoofMaterial-T
2394646,RoofMaterial-T
2618718,RoofGutter-T
2498062,EntryDriveway-T
2498053,EntryWalkway-T
